facet_desc_0,question_0,answer_1_0,answer_2_0,shuffled_0,facet_desc_1,question_1,answer_1_1,answer_2_1,shuffled_1,facet_desc_2,question_2,answer_1_2,answer_2_2,shuffled_2,facet_desc_3,question_3,answer_1_3,answer_2_3,shuffled_3,facet_desc_4,query_4,question_4,answer_1_4,answer_2_4,correct_4,query_1,correct_1,shuffled_4,query_3,correct_3,query_0,correct_0,query_2,correct_2
"I am looking for newcomer information for Cass County, Missouri.",is there any specific information that you are looking for,I am looking for newcomer information.,Yes I would like to find information on the county where I am located,False,Find information on Breeders Cup races.,are you interested in a schedule of events from churchill downs,"Yes, I would like to see a schedule of events from Churchil Downs.",Yes I would like information on the race races,False,Find vendors that sell computer memory upgrades.,are you worried about memory loss,"No, I want to buy some.",No I am interested in computer repair,False,Find a black-and-white outline map of the United States such that a child could color.,would you like to know where the us is located on the map,"No, I want a black-and-white outline map of the United States such that a child could color.",No I am looking for a black and white outline map,False,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
Find the seating chart of Churchill Downs.,do you want to know the best time to visit churchill downs is,"No, I want to find the seating chart of Churchill Downs.",No I want to see the seat charts of the churchill downs,False,What is Poem in Your Pocket Day?,did you want the know what the reasoning for having poem in your pocket day is,No I want to know what is the meaning of poetry in my pocket day,"Yes, I would like to know the reasoning for having Poem in Your Pocket Day.",True,What problems have afflicted the Ford Edge car model?,do you want to see if there have been recalls of the ford edge,Yes I want to kyesw what the problem is,"Yes, I want to know if there have been recalls of the ford edge.",True,"Find information on various types of computer memory, and how they are different.",who was the first to study the brain and memory,No,"I want to know about different types of computer memory, and how they are different.",True,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
Find Brooks Brothers online promotional coupons.,are you interested in brooks brothers clearance shirts,Yes.,No I need to see their online retailers,False,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,What is Poem in Your Pocket Day?,are you looking for activities for the day,No I am looking for a list of all the things that you can do in your pocket day,"No, I just want to know what it is.",True,Find complete (not partial) recipes for beef stroganoff.,do you want a one pot recipe,Yes,"No, I want a complete recipe for beef stroganoff.",True,How can I plan an inexpensive wedding?,,were you interested in a free or paid budget calculator,free,No I am interested in planning an inexpensive wedding,,Tell me about kiwi,answer_2,False,,,,,,
Find a map of the inside of the US Capitol.,are you interested in a map of capitol hill,"Yes, I want a map of the inside of the Capitol.",No I am interested in a map of the inside of the usitol,False,I'm looking for web sites that do antique appraisals.,are you looking for a type of appraiser,No I want to find websites that do antique appraisals,"No, I'm looking for web sites that do antique appraisals.",True,"Find recipes from Starbucks, either for making or using Starbucks products.",are you interested in the stocks of starbucks,Yes I want to kyesw what they have made or used,"No, I want to find recipes from Starbucks.",True,Detailed information about kiwi fruit.,Are you interested in kiwi fruit?,I am.,"yes, but also more on the side of things alltogether right left",,Where can I learn about rock painting or buy a rock-painting kit?,,do you want to buy rock art,"No, I want to learn about how to make rock art.",No,,,,False,Tell me about kiwi,answer_1,,,,
Where can I buy rock and roll posters?,do you want examples of rock art,"No, I want to know where I can buy rock and roll posters.",Yes,False,Find a black-and-white outline map of the United States such that a child could color.,are you looking for a paper version of us map,Yes,"Yes, I need a black-and-white outline map of the United States such that a child could color.",True,"What services/facilities does the Ontario, CA airport offer?",would you like to book a flight at ontario california airport,Yes I need to kyesw about services and facilities offered by the airport,"No, I just want to know what services/facilities it offers.",True,Detailed information about kiwi fruit.,Are you interested in kiwi fruit?,I am.,"yes, but also more on the side of things alltogether right left",,What is the average salary for a computer programmer?,,are you looking for information on different computer programming languages,Yes,"No, I want to know the average salary for a computer programmer.",,,,True,Tell me about kiwi,answer_1,,,,
Find vendors that sell computer memory upgrades.,are you looking for ways to naturally boost your memory,"No, I'm looking to buy some computer memory upgrades from vendors. Do you know any?",Yes I want to buy a computer to,False,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,Where can I buy radio-controlled planes?,is this for a school craft or play,Yes I want to kyesw where I can buy a radiocontrolled plane,I just want to know where I can purchase a radio-controlled plane.,True,What does the US capital tax rate consist of and how is it broken down?,do you like to know capital gains tax on real estate,No I want to know the differences between the uscapital tax rate and the rate of income tax,"No, I want to know about the capital tax rate and how it's broken down.",True,What are the symptoms of von Willebrand Disease?,,do you want to know how von willebrand disease is treated,"No, I want to know the symptoms of it.",Yes,,Tell me about kiwi,answer_2,False,,,,,,
Detailed information about kiwi bird.,Are you interested in kiwi fruit?,"yes, most fruit I love it like disco twist",no,,I am looking for spreadsheets or templates to help me tabulate a budget for a wedding.,what are your budget priorities for your wedding,No I am looking for spreadsheets or templates to help me tabulate a wedding budget,I need a spreadsheet or template to help me tabulate a budget for a wedding.,True,Sites that sell Universal Animal Cuts that include product reviews.,did you want to know if the price was worth it,"No, I want to know if the product works.",No I want to find a site that sells it,False,Find a list of hobby stores in Maryland.,are you looking for hobby stores located in maryland,Yes,"Yes, I am looking for a list of hobby stores in Maryland.",True,Find the seating chart of Churchill Downs.,,is there any specific race on your mind,Yes I want to see the seating charts of bellevue downs,I just want to see the seating chart of Churchill Downs.,,,,True,,,Tell me about kiwi,answer_2,,
Detailed information about kiwi bird.,Are you interested in kiwi fruit?,"yes, most fruit I love it like disco twist",no,,Find ideas for how to celebrate Poem in Your Pocket Day and National Poetry Month.,are you looking for examples of poems to carry for poem in your pocket day,No,"Yes, I would like some examples of poems to carry for poem in your pocket day.",True,"What was the 2008 budget for Cass County, MO?",do you have travel plans,Yes I would like to know what the 2008 budget was,"No, I want to know the 2008 budget for Cass County, MO.",True,Where can I learn about rock painting or buy a rock-painting kit?,do you want the history of rock art,No I want to learn about rock painting,"No, I want to learn how to paint rocks.",True,"I'd like to find user reports about Windows Defender, particularly problems with the software.",,are you looking for a security system,"I'm looking for user reports about Windows Defender, particularly problems with the software.",Yes,,,,False,,,Tell me about kiwi,answer_2,,
Find pictures of horse hooves.,do you need your horses hooves trimmed,"No, I need pictures of horse hooves.",Yes I want pictures of them,False,information about Indian tribes that used adobe houses,do you want information about the construction of adobe houses,No,"No, I want information about Indian tribes that used adobe houses.",True,Find information about buying real estate in India.,would you like more information about the challenges of living in india,Yes I am looking for information on buying real estate in india,"No, I want to know about buying real estate in India.",True,Detailed information about kiwi fruit.,Are you interested in kiwi fruit?,I am.,"yes, but also more on the side of things alltogether right left",,Describe the anatomy of horses' feet and hooves.,,do you need horse hoof care tips,Yes I am looking for general information about the anatomy of hoofs,"No, I want to know about the anatomy of horses' feet and hooves.",,,,True,Tell me about kiwi,answer_1,,,,
Where can I buy tools for stone carving or engraving?,do you want locations of rock art,"No, I want to learn about tools for stone carving or engraving.",Yes I want to buy tools for carving,False,discussion of the impending sale of the Rocky Mountain News,do you want to incude both canadian and us news sources,"No, just the sale of the Rocky Mountain News.",Yes I want to kyesw the sale of the rocky mn,False,Information about kiwi fruit.,Are you interested in kiwi fruit?,"yes, quite punctionality of the fruitz","no, I am not",,Take me to the Starbucks homepage.,are you interested in the stocks of starbucks,"No, I want to go to the Starbucks homepage.",No im looking for the website for the company that makes them,False,Find testimonials of Universal Animal Cuts nutritional supplement.,,did you want to know if it was effective for different levels of weight,No I want to know if it was effective for different levels of weight,"No, I'm just looking for testimonials of the product.",,,,True,,,,,Tell me about kiwi,answer_2
