facet_desc_0,question_0,answer_1_0,answer_2_0,shuffled_0,facet_desc_1,question_1,answer_1_1,answer_2_1,shuffled_1,facet_desc_2,question_2,answer_1_2,answer_2_2,shuffled_2,facet_desc_3,query_3,question_3,answer_1_3,answer_2_3,correct_3,facet_desc_4,question_4,answer_1_4,answer_2_4,shuffled_4,shuffled_3,query_4,correct_4,query_2,correct_2,query_0,correct_0,query_1,correct_1
"I am looking for newcomer information for Cass County, Missouri.",is there any specific information that you are looking for,Yes I would like to find information on the county where I am located,I am looking for newcomer information.,True,Find information on Breeders Cup races.,are you interested in a schedule of events from churchill downs,"Yes, I would like to see a schedule of events from Churchil Downs.",Yes I would like information on the race races,False,Find vendors that sell computer memory upgrades.,are you worried about memory loss,"No, I want to buy some.",No I am interested in computer repair,False,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,Find a black-and-white outline map of the United States such that a child could color.,would you like to know where the us is located on the map,No I am looking for a black and white outline map,"No, I want a black-and-white outline map of the United States such that a child could color.",True,,,,,,,,,
Find the seating chart of Churchill Downs.,do you want to know the best time to visit churchill downs is,No I want to see the seat charts of the churchill downs,"No, I want to find the seating chart of Churchill Downs.",True,What is Poem in Your Pocket Day?,did you want the know what the reasoning for having poem in your pocket day is,"Yes, I would like to know the reasoning for having Poem in Your Pocket Day.",No I want to know what is the meaning of poetry in my pocket day,False,What problems have afflicted the Ford Edge car model?,do you want to see if there have been recalls of the ford edge,Yes I want to kyesw what the problem is,"Yes, I want to know if there have been recalls of the ford edge.",True,"Find information on various types of computer memory, and how they are different.",,who was the first to study the brain and memory,No,"I want to know about different types of computer memory, and how they are different.",,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,yes,"no, I am not",,True,Tell me about kiwi,answer_2,,,,,,
Find Brooks Brothers online promotional coupons.,are you interested in brooks brothers clearance shirts,No I need to see their online retailers,Yes.,True,What is Poem in Your Pocket Day?,are you looking for activities for the day,"No, I just want to know what it is.",No I am looking for a list of all the things that you can do in your pocket day,False,Information about kiwi fruit.,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,,Find complete (not partial) recipes for beef stroganoff.,,do you want a one pot recipe,Yes,"No, I want a complete recipe for beef stroganoff.",,How can I plan an inexpensive wedding?,were you interested in a free or paid budget calculator,No I am interested in planning an inexpensive wedding,free,True,True,,,Tell me about kiwi,answer_2,,,,
Information about kiwi fruit.,Are you interested in kiwi bird?,yes,no,,Find a map of the inside of the US Capitol.,are you interested in a map of capitol hill,No I am interested in a map of the inside of the usitol,"Yes, I want a map of the inside of the Capitol.",True,I'm looking for web sites that do antique appraisals.,are you looking for a type of appraiser,No I want to find websites that do antique appraisals,"No, I'm looking for web sites that do antique appraisals.",True,"Find recipes from Starbucks, either for making or using Starbucks products.",,are you interested in the stocks of starbucks,"No, I want to find recipes from Starbucks.",Yes I want to kyesw what they have made or used,,Where can I learn about rock painting or buy a rock-painting kit?,do you want to buy rock art,No,"No, I want to learn about how to make rock art.",True,False,,,,,Tell me about kiwi,answer_2,,
Where can I buy rock and roll posters?,do you want examples of rock art,Yes,"No, I want to know where I can buy rock and roll posters.",True,Information about kiwi fruit.,Are you interested in kiwi bird?,yes,"no, in the fruit",,Find a black-and-white outline map of the United States such that a child could color.,are you looking for a paper version of us map,"Yes, I need a black-and-white outline map of the United States such that a child could color.",Yes,False,"What services/facilities does the Ontario, CA airport offer?",,would you like to book a flight at ontario california airport,Yes I need to kyesw about services and facilities offered by the airport,"No, I just want to know what services/facilities it offers.",,What is the average salary for a computer programmer?,are you looking for information on different computer programming languages,Yes,"No, I want to know the average salary for a computer programmer.",True,True,,,,,,,Tell me about kiwi,answer_2
Find vendors that sell computer memory upgrades.,are you looking for ways to naturally boost your memory,Yes I want to buy a computer to,"No, I'm looking to buy some computer memory upgrades from vendors. Do you know any?",True,Where can I buy radio-controlled planes?,is this for a school craft or play,Yes I want to kyesw where I can buy a radiocontrolled plane,I just want to know where I can purchase a radio-controlled plane.,True,Information about kiwi fruit.,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,,What does the US capital tax rate consist of and how is it broken down?,,do you like to know capital gains tax on real estate,"No, I want to know about the capital tax rate and how it's broken down.",No I want to know the differences between the uscapital tax rate and the rate of income tax,,What are the symptoms of von Willebrand Disease?,do you want to know how von willebrand disease is treated,"No, I want to know the symptoms of it.",Yes,False,False,,,Tell me about kiwi,answer_2,,,,
Information about kiwi fruit.,Are you interested in kiwi bird?,yes,no,,I am looking for spreadsheets or templates to help me tabulate a budget for a wedding.,what are your budget priorities for your wedding,I need a spreadsheet or template to help me tabulate a budget for a wedding.,No I am looking for spreadsheets or templates to help me tabulate a wedding budget,False,Sites that sell Universal Animal Cuts that include product reviews.,did you want to know if the price was worth it,No I want to find a site that sells it,"No, I want to know if the product works.",True,Find a list of hobby stores in Maryland.,,are you looking for hobby stores located in maryland,"Yes, I am looking for a list of hobby stores in Maryland.",Yes,,Find the seating chart of Churchill Downs.,is there any specific race on your mind,I just want to see the seating chart of Churchill Downs.,Yes I want to see the seating charts of bellevue downs,False,False,,,,,Tell me about kiwi,answer_2,,
Find ideas for how to celebrate Poem in Your Pocket Day and National Poetry Month.,are you looking for examples of poems to carry for poem in your pocket day,"Yes, I would like some examples of poems to carry for poem in your pocket day.",No,False,"What was the 2008 budget for Cass County, MO?",do you have travel plans,Yes I would like to know what the 2008 budget was,"No, I want to know the 2008 budget for Cass County, MO.",True,Where can I learn about rock painting or buy a rock-painting kit?,do you want the history of rock art,No I want to learn about rock painting,"No, I want to learn how to paint rocks.",True,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,"I'd like to find user reports about Windows Defender, particularly problems with the software.",are you looking for a security system,"I'm looking for user reports about Windows Defender, particularly problems with the software.",Yes,False,,,,,,,,,
Find pictures of horse hooves.,do you need your horses hooves trimmed,"No, I need pictures of horse hooves.",Yes I want pictures of them,False,information about Indian tribes that used adobe houses,do you want information about the construction of adobe houses,No,"No, I want information about Indian tribes that used adobe houses.",True,Find information about buying real estate in India.,would you like more information about the challenges of living in india,"No, I want to know about buying real estate in India.",Yes I am looking for information on buying real estate in india,False,Describe the anatomy of horses' feet and hooves.,,do you need horse hoof care tips,"No, I want to know about the anatomy of horses' feet and hooves.",Yes I am looking for general information about the anatomy of hoofs,,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,yes,"no, I am not",,False,Tell me about kiwi,answer_2,,,,,,
Information about kiwi fruit.,Are you interested in kiwi bird?,yes,no,,Where can I buy tools for stone carving or engraving?,do you want locations of rock art,"No, I want to learn about tools for stone carving or engraving.",Yes I want to buy tools for carving,False,discussion of the impending sale of the Rocky Mountain News,do you want to incude both canadian and us news sources,"No, just the sale of the Rocky Mountain News.",Yes I want to kyesw the sale of the rocky mn,False,Take me to the Starbucks homepage.,,are you interested in the stocks of starbucks,No im looking for the website for the company that makes them,"No, I want to go to the Starbucks homepage.",,Find testimonials of Universal Animal Cuts nutritional supplement.,did you want to know if it was effective for different levels of weight,"No, I'm just looking for testimonials of the product.",No I want to know if it was effective for different levels of weight,False,True,,,,,Tell me about kiwi,answer_2,,
Information about kiwi fruit.,Are you interested in kiwi bird?,yes,no,,Who is the patron saint of mental illness?,who you like to know who the patron saint of mental illness is,No I want to know who the patron saint of mental illness is,"Yes, I would like to know who the patron saint of mental illness is.",True,"Are Animal Cuts safe to use, and are they effective?",would you like to review universal animal cuts,No I want to know what animals can be used for animal cuts,"No, I want to know if they're safe to use and if they're effective.",True,The blue-throated hummingbird is native to what areas?,,would you like to know where it originates from,Yes,Yes I want to kyesw what areas it originated from,,Find printable maps of the United States.,would you like to know more about us roads,"No, I just want a printable map of the United States.",Yes,False,False,,,,,Tell me about kiwi,answer_2,,
Where can I buy rock and roll posters?,do you want the history of rock art,No I want to know where I can buy rock and roll posters,"No, I want to know where I can buy rock and roll posters.",True,Information about kiwi fruit.,Are you interested in kiwi bird?,yes,"no, in the fruit",,How do I host a Pampered Chef cooking show?,are you wondering about pampered chef competitors,"No, I want to know how to host a Pampered Chef cooking show.",Yes,False,Where are Brooks Brothers outlet stores located?,,would you like to know about the brooks brothers clearance return policy,"No, I want to know the locations of Brooks Brothers outlet stores.",Yes,,Find information about how people live in India.,what part of india are you interested in,I'm interested in how people live in India.,I dont know,False,False,,,,,,,Tell me about kiwi,answer_2
"What was the 2008 budget for Cass County, MO?",are you looking for places to eat in cass county missouri,"No, I want to know the 2008 budget for Cass County, MO.",Yes I am looking for a specific county,False,Information about kiwi fruit.,Are you interested in kiwi bird?,yes,"no, in the fruit",,"I'm looking for information on bars and nightclubs in Hoboken, NJ.",are you looking for an apartment in hoboken,"No, I'm looking for information on bars and nightclubs in Hoboken, NJ.",No I am looking for information on bar and club locations,False,I'm looking for web sites that do antique appraisals.,,what type of appraisals do you need informatiom about,I'm looking for web sites that do antique appraisals.,No I want to see websites that do antique appraisals,,I'm looking for a source for Euclid truck parts.,are you looking for a company,Yes,"Yes, I'm looking for a source for Euclid truck parts.",True,False,,,,,,,Tell me about kiwi,answer_2
How do you treat severe angular cheilitis?,are you looking for the definition of angular cheilitis,Yes I am looking for treatment,"No, I'm looking for how to treat severe angular cheilitis.",True,What are the symptoms of von Willebrand Disease?,what kind of information about von willebrand disease do you want to see,Yes,I want to know the symptoms of von Willebrand Disease.,True,Sites that sell Universal Animal Cuts that include product reviews.,did you want to know if it was effective for different levels of weight,Yes I would like to see reviews about it,"Yes, I want to know if it is effective for people who are overweight.",True,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,Find the homepage for the NASA Voyager mission.,are you looking for a specific web page,Yes I want to go to the homepage of the mission,"Yes, I am looking for the homepage for the NASA Voyager mission.",True,,,,,,,,,
home page of the Rocky Mountain News,are you interested in news archives,No,"No, I just want the home page of the Rocky Mountain News.",True,How is workplace diversity achieved and managed?,are you looking for a specific content related to diversity,Yes I want to kyesw how the workplace is managed,"Yes, I want to know how workplace diversity is achieved and managed.",True,Information about kiwi fruit.,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,,Find a black-and-white outline map of the United States such that a child could color.,,are you looking for children coloring books,"Yes, I want a black-and-white outline map of the United States such that a child could color.",No I am looking for a map,,"Are Animal Cuts safe to use, and are they effective?",did you want to know if it was effective for different levels of weight,I want to know if Animal Cuts are safe to use and if they are effective.,Yes I want to kyesw the animal cuts,False,False,,,Tell me about kiwi,answer_2,,,,
How often may atypical squamous cells predict cervical cancer?,would you like to know about treatment for atypical squamous cells,"No, I want to know how often may atypical squamous cells predict cervical cancer.",Yes,False,"Looking for any historical information related to Orcas Island: geographical, buildings, people, infrastructure, etc.",are you looking for information from a specific era in the history of orcas island,any era is fine,Yes,False,Information about kiwi fruit.,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,,What is the common name for angular cheilitis?,,are asking what the symptoms are for angular cheilits,Yes,"No, I am asking what the common name for angular cheilitis is.",,What hobby stores carry trains?,are you looking for hobby stores located in maryland,Yes I am looking for stores that carry trains,"No, I want to know what hobby stores carry trains.",True,True,,,Tell me about kiwi,answer_2,,,,
"I'm looking for the history of Hoboken, NJ.",do you want information on the climate of hoboken,"No, I want the history of Hoboken.",Yes I am looking for the history of the city,False,Information about kiwi fruit.,Are you interested in kiwi bird?,yes,"no, in the fruit",,Where can I buy rock and roll posters?,are you going to purchase any specific tools,No I need to buy rock and roll posters,"No, I just want to know where I can buy rock and roll posters.",True,Find information about the NASA Voyager spacecraft and missions.,,do you want to know where voyager is now,"Yes, I would like to know where the Voyager spacecraft is now.",No I want to know about the spacecraft and mission,,Is Brooks Brothers catalog merchandise available at their outlet stores?,are you trying to find brooks brothers clearance suits,Yes,"No, I want to know if Brooks Brothers catalog merchandise is available at their outlet stores.",True,False,,,,,,,Tell me about kiwi,answer_2
Information about kiwi fruit.,Are you interested in kiwi bird?,yes,no,,"Find demographic information about Cass County, MO.",do you want to know about the schools in cass county missouri,No I want to know about the demographics of the county missouri,"No, I want to know the demographic information about Cass County, MO.",True,quotes about independence,which use of that quote are you interested in,No I want to know about the opinions of men,the one about independence,True,What do atypical squamous cells mean on a pap smear test?,,do you want to see a picture of atypical squamous cells,Yes,"No, I want to know what they mean on a pap smear test.",,"Find the homepage for the city of Hoboken, NJ.",are you looking for information about the hoboken medical center,No I want the homepage for the city of Hob,"No, I'm looking for the homepage for the city of Hoboken, NJ.",True,True,,,,,Tell me about kiwi,answer_2,,
Find information on shoeing horses and horseshoe problems.,do you need horse hoof care tips,"Yes, I would like to know more about shoeing horses and horseshoe problems.",No,False,"I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",are you referring to a software,Yes,"No, I'm talking about the Williams arcade game from the 1980s.",True,What problems have afflicted the Ford Edge car model?,what city and state are you looking for a ford edge repair shop in,I just want to know what problems have afflicted the Ford Edge car model.,I dont kyesw,False,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,Provide pressure washer reviews and/or ratings.,are you trying to build a pressure washer,"No, I'm trying to buy one. I need reviews and ratings for pressure washers.",Yes I am looking for reviews and ratings,False,,,,,,,,,
Information about kiwi fruit.,Are you interested in kiwi bird?,yes,no,,"Find a map of the area around the US Capitol, including nearby sites to visit.",do you want to know what cities are on the us capitol map,"No, I want a map of the area around the US Capitol, including nearby sites to visit.",No I am looking for a map of the us capitol,False,Find calorie counts and other nutritional information about Starbucks products.,are you looking for a recipe,Yes I am looking for the calorie count and other nutritional information for the company,"No, I want to know the calorie counts and other nutritional information about Starbucks products.",True,Where can I buy radio-controlled planes?,,are you looking for a radiocontrolled plane,No I want information on where I can buy one,"Yes, I want to know where I can buy radio-controlled planes.",,Find information about horses' hooves and how to care for them.,are you asking about a horses feet,"Yes, I want to know how to take care of a horse's hooves.",No,False,True,,,,,Tell me about kiwi,answer_2,,
Find information about solar panels that I can install on my home.,do you want annual savings totals if you install solar panels,Yes,Yes,False,Where can I go on a hay ride in Pennsylvania?,do you have a designated date and time you would want the hayride in pennsylvania,"No, I just want to know generally where I can go on a hay ride in Pennsylvania.",Yes I am looking for a specific date and time,False,Find information about human memory.,how to cheat at the game memory,"No, I want to know about human memory.",Yes I am looking for information on human memory,False,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,Who said all men are created equal?,which use of that quote are you interested in,I dont know,I want to know who said all men are created equal.,True,,,,,,,,,
