topic_id,facet_id,facet,initial_request,question1,answer1,question2,answer2,question3,answer3
237,F0549,What are some remedies for a lump in the throat?,Find me information about a lump in the throat.,would you like to know how to fix a lump in the throat,"Yes, I would like to know what are some remedies for a lump in the throat.",are you interested in seeing remedies for alleviating a lump in the throat,yes,would you like to know what causes a lump in the throat,"2    Yes, I want to know what remedies might be hel...
Name: answer, dtype: object"
215,F0487,Find Maryland DNR fishing reports.,Info on maryland department of natural resources,do you want to know the location of maryland department of natural resources,"3    no i want to know how to get a land surveyor t...
Name: answer, dtype: object",would you like to conact the maryland department of natural resources,"4    No, I would like to see reports on fishing rep...
Name: answer, dtype: object",would you like to know the responsibilities of the maryland department of natural resources,"5    yes
Name: answer, dtype: object"
222,F0511,What is the medical term for male menopause?,I'm looking for information on male menopause,would you like to know what age men may start male menopause,"6    no i want to know what male menopause is
Name: answer, dtype: object",why are you interested in learning more about male menopause,"7    I want to know what the symptoms are
Name: answer, dtype: object",do you want to know the symptoms of male menopause,"8    No, I want to know what the symptoms are
Name: answer, dtype: object"
233,F0538,Find reviews of hair dye removers.,Tell me about hair dye.,would you like to know about hair dye brands,"9    Yes.
Name: answer, dtype: object",would you like to know about hair dye colors,"10    No, I would like reviews of hair dye removers.
Name: answer, dtype: object",are you interested in hair dye application or removal,"11    No, I want reviews of hair dye removers.
Name: answer, dtype: object"
210,F0464,Find information on handheld golf gps devices.,golf gps,would you like a comparison of golf gps systems,"12    no i want to know how gps gps devices work
Name: answer, dtype: object",are you interested in the history of gps systems in golf,"13    No, I want to know about handheld golf gps dev...
Name: answer, dtype: object",are you interested in the accuracy of the gps,"14    No, I just want to know how to use them.
Name: answer, dtype: object"
210,F0461,What is the best golf gps device?,golf gps,would you like to buy a golf gps system,"15    No, I want to know what the best gps device is
Name: answer, dtype: object",would you like a comparison of golf gps systems,"16    Yes, I would like to know about the different ...
Name: answer, dtype: object",are you interested in a specific golf gps system,"17    No, I would like to see pictures of the USS Cole.
Name: answer, dtype: object"
222,F0509,Find information on male menopause medication.,I'm looking for information on male menopause,would you like to know what age men may start male menopause,"18    no i want to know what menopause medication is
Name: answer, dtype: object",why are you interested in learning more about male menopause,"19    I want to know what male menopause medication is.
Name: answer, dtype: object",are you looking for some medication,"20    No.
Name: answer, dtype: object"
237,F0550,How does anxiety cause the feeling of a lump in the throat?,Find me information about a lump in the throat.,would you like to know how to fix a lump in the throat,"No, I would like to know about the symptoms of a lump in the throat.",what type of medical information on lumps in the throat would you like,"22    yes
Name: answer, dtype: object",are you referring to the person,"23    No, I need to know how to treat it.
Name: answer, dtype: object"
222,F0510,What is the definition of male menopause?,I'm looking for information on male menopause,are you interested in the differences between male and female menopause,"24    yes
Name: answer, dtype: object",are you interested to see male menopause jokes,"25    No, I want to see pictures of them.
Name: answer, dtype: object",would you like to know what age men may start male menopause,"26    No, I want to know what the definition of meno...
Name: answer, dtype: object"
233,F0536,Where can I find organic or chemical free hair dye products?,Tell me about hair dye.,are you interested in a particular hair dye or a history of hair dye,"27    no i want to know about the symptoms
Name: answer, dtype: object",do you know what color of hair dye to use,"28    yes
Name: answer, dtype: object",what color of hair dye are you looking for,"29    Yes, I would like to know how to get a license...
Name: answer, dtype: object"
237,F0549,What are some remedies for a lump in the throat?,Find me information about a lump in the throat.,would you like to know how to fix a lump in the throat,"Yes, I would like to know what are some remedies for a lump in the throat.",are you interested in seeing remedies for alleviating a lump in the throat,yes,do you need info on remedies,"32    no i want to know what type of carpenterter be...
Name: answer, dtype: object"
237,F0550,How does anxiety cause the feeling of a lump in the throat?,Find me information about a lump in the throat.,would you like to know how to fix a lump in the throat,"No, I would like to know about the symptoms of a lump in the throat.",would you like to view sad movies or shows that give you a lump in your throat,"34    No, I want to know how to fix a lump in the th...
Name: answer, dtype: object",are you interested in the reasons a lump in the throat occurs,"35    No, I just want to know how it can be treated
Name: answer, dtype: object"
253,F0595,What are the concerns with extracting an abscessed tooth?,What treatments are available for a tooth abscess?,would you like to learn about home remedies for treating a tooth abscess,"36    no i want to know about treatment options
Name: answer, dtype: object",do you want to know about tooth abscess symptoms,"37    No, I want to know about treating an abscessed...
Name: answer, dtype: object",do you want to know how a tooth abscess is treated,"Yes, I would like to know about what treatments are available for it."
243,F0567,How can I purchase an Afghanistan flag?,Find information about afghanistan flag,do you want to know how many square miles afghanistan is,"39    no i want to know about purchasing an afghanis...
Name: answer, dtype: object",would you like to know where afghanistan is on the map,"40    no i want to know how to purchase an afghanist...
Name: answer, dtype: object",are you looking for a map of afghanistan,"41    No, I would like to see pictures of Afghanistan.
Name: answer, dtype: object"
269,F0646,Find the Marshall County Schools in Kentucky school calendar,Find information about marshall county schools.,would like to know a list of marshall county schools in your state,"42    no i want to know how to get a ham radio ham r...
Name: answer, dtype: object",what state are you searching for marshall county schools,"43    no i want to know the schools in kentucky
Name: answer, dtype: object",are you looking for events,"44    no i want to know the school schedules for the...
Name: answer, dtype: object"
210,F0464,Find information on handheld golf gps devices.,golf gps,would you like to buy a golf gps system,"45    no i want to know the devices that work with gps
Name: answer, dtype: object",would you like a comparison of golf gps systems,"46    No, I want to know about handheld golf gps dev...
Name: answer, dtype: object",are you looking for golf ball sized gps technologies,"47    Yes, I would like to know the symptoms.
Name: answer, dtype: object"
285,F0713,What are the symptoms of a magnesium deficiency?,I'm interested in magnesium rich foods,would you like to know about magnesium rich foods that are kid friendly,yes i would like to know what the symptoms are,do you want to find recipes to learn how to make magnesium rich foods,"49    Yes, that's exactly what I need to know.
Name: answer, dtype: object",would you like to learn the drawbacks to consuming magnesium rich foods,"No, I want to know what the symptoms are."
237,F0547,Find information about a lump in the throat caused by the thyroid.,Find me information about a lump in the throat.,would you like to know how to fix a lump in the throat,"No, I would like to know what causes it.",can thyroid problem cause a lump in the throat,no i want to know about symptoms,what type of medical information on lumps in the throat would you like,i want to know about treatment options
210,F0466,Where can I get a used golf gps device?,golf gps,would you like a comparison of golf gps systems,"54    no i need to know how to get used gps devices
Name: answer, dtype: object",are you interested in the history of gps systems in golf,"55    Yes
Name: answer, dtype: object",are you interested in the accuracy of the gps,"56    Yes, I would like to know how to get a used go...
Name: answer, dtype: object"
210,F0461,What is the best golf gps device?,golf gps,would you like a comparison of golf gps systems,"57    no i am looking for the best gps device
Name: answer, dtype: object",are you interested in the history of gps systems in golf,"58    yes i am interested in the gps devices
Name: answer, dtype: object",would you like to buy a golf gps system,"59    no, i want to know about the best golf gps dev...
Name: answer, dtype: object"
273,F0670,Is there a genetic basis to Wilson's disease?,Give me information on wilson's disease.,are you interested in description of the disease,"60    yes
Name: answer, dtype: object",would you like to hear about treatments for this disease,"61    Yes, that would be great.
Name: answer, dtype: object",are you looking for the symptoms of this disease,"62    Yes, I would like to know about the side effec...
Name: answer, dtype: object"
237,F0551,Find information about difficulty in swallowing caused by a lump in the throat.,Find me information about a lump in the throat.,would you like to know how to fix a lump in the throat,Yes.,would you like to know what causes a lump in the throat,"64    yes
Name: answer, dtype: object",are you interested in the reasons a lump in the throat occurs,"Yes, that's right."
253,F0593,What treatments are available for a tooth abscess?,What treatments are available for a tooth abscess?,are you looking for pictures of a tooth abscess,"66    no i want to know how to treat it
Name: answer, dtype: object",do you want to see a selfquiz to determine if you have a tooth abscess,"67    no i want to know what treatments are available
Name: answer, dtype: object",do you want to know how a tooth abscess is treated,"68    No.
Name: answer, dtype: object"
222,F0511,What is the medical term for male menopause?,I'm looking for information on male menopause,are you interested in the differences between male and female menopause,"69    No, I want to know what it is.
Name: answer, dtype: object",are you interested to see male menopause jokes,"70    yes i would like to see a list of male menopau...
Name: answer, dtype: object",would you like to know what age men may start male menopause,"71    Yes, please tell me about the surgical options...
Name: answer, dtype: object"
243,F0564,Find pictures of the Afghanistan flag.,Find information about afghanistan flag,would you like to know the origin of the afghanistan flag,"72    no i want to see pictures of the flag
Name: answer, dtype: object",would you like to know if the afghanistan flag has any symbols,"73    No, I want to see pictures of the Afghanistan ...
Name: answer, dtype: object",are you interested in purchasing an afghanistan flag,"74    yes i am looking for pictures
Name: answer, dtype: object"
222,F0508,What are the symptoms and signs of male menopause?,I'm looking for information on male menopause,are you interested in the differences between male and female menopause,"75    yes
Name: answer, dtype: object",are you interested to see male menopause jokes,"76    yes
Name: answer, dtype: object",are you interested in male menopause symptoms,"77    Yes, I would like to see the symptoms and sign...
Name: answer, dtype: object"
215,F0484,What information is available about Maryland parks and recreation?,Info on maryland department of natural resources,do you want to know what jobs are available at the maryland department of natural resources,"78    Yes, I want to know about their recreation.
Name: answer, dtype: object",do you want to know the location of maryland department of natural resources,"79    no i want to know how to get a license to oper...
Name: answer, dtype: object",are you referring to the the department of natural resources in maryland,"80    Yes, I would like to know about the jobs avail...
Name: answer, dtype: object"
215,F0482,Find the phone numbers for units within the Maryland Department of Natural Resources.,Info on maryland department of natural resources,do you want to know what jobs are available at the maryland department of natural resources,"81    Yes, I need to know the phone numbers.
Name: answer, dtype: object",do you want to know the location of maryland department of natural resources,"82    Yes, I would like to know where to buy and get...
Name: answer, dtype: object",are you interested in jobs available in maryland department of natural resources,"Yes, I would like to know where they are located"
